time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
1487082600,232.56,233.71,232.16,233.7,75.63683253758441,62.85310278375573,NaN,NaN
1487169000,233.45,235.14,233.39,234.92,78.27243764992247,63.81652746905088,NaN,NaN
1487255400,234.96,235.155,233.85,234.72,76.80555931138363,64.82198067680989,NaN,NaN
1487341800,233.95,235.09,233.93,235.09,77.64040383630807,66.41918210297747,NaN,NaN
1487687400,235.52,236.69,235.51,236.49,80.50035948873844,68.22776587958305,NaN,NaN
1487773800,236.02,236.54,235.83,236.28,78.87073635458731,69.8922925448195,NaN,NaN
1487860200,236.88,236.9,235.56,236.44,79.21596325915914,71.53302040996763,NaN,NaN
1487946600,235.46,236.7932,235.41,236.74,79.87976631595116,72.76227102557168,NaN,NaN
1488205800,236.64,237.31,236.35,237.11,80.69854141918537,74.22752555419929,NaN,NaN
1488292200,236.67,236.95,236.015,236.47,75.01227896147489,75.28365923045634,NaN,NaN
1488378600,238.39,240.32,238.37,239.78,82.05496384660559,76.75044113030167,NaN,NaN
1488465000,239.56,239.57,238.21,238.27,72.07498126825382,77.12773741331178,NaN,NaN
1488551400,238.17,238.61,237.73,238.42,72.43365788251636,77.31749448623104,NaN,NaN
1488810600,237.5,238.12,237.01,237.71,67.98263953726045,76.9342229763522,NaN,NaN
1488897000,237.36,237.77,236.76,237,63.763026981079065,76.0860940080304,NaN,NaN
1488983400,237.34,237.64,236.4,236.56,61.226760703238206,74.86854565469581,NaN,NaN
1489069800,236.7,237.24,235.74,236.86,62.32705473613571,73.83436675646381,NaN,NaN
1489156200,237.97,238.02,236.59,237.69,65.26401338566477,72.95033886713215,NaN,NaN
1489411800,237.62,237.86,237.24,237.81,65.68059096811035,71.89178397280156,NaN,NaN
1489498200,237.18,237.24,236.19,236.9,59.82164568167088,70.53113463902181,NaN,NaN
1489584600,237.56,239.44,237.29,238.95,66.96975705828933,69.65640562467397,NaN,NaN
1489671000,239.11,239.2,238.1,238.48,64.15178556501144,68.53297842817827,NaN,NaN
1489757400,237.75,237.97,237.03,237.03,56.2832825106342,66.78903136328175,NaN,NaN
1490016600,237.03,237.36,236.32,236.77,54.98105616832302,65.35822973519949,NaN,NaN
1490103000,237.47,237.61,233.58,233.73,42.576926776605866,62.53836994448522,NaN,NaN
1490189400,233.77,234.61,233.05,234.28,44.99478518133299,60.60407022399087,NaN,NaN
1490275800,234,235.34,233.6,234.03,44.08611092582547,58.5792454413701,NaN,NaN
1490362200,234.38,235.04,232.96,233.86,43.44362197512212,56.826458472645925,NaN,NaN
1490621400,231.93,233.92,231.61,233.62,42.501907386242436,55.30780707301473,NaN,NaN
1490707800,233.27,235.81,233.14,235.32,50.660421522358305,54.553068560094744,NaN,NaN
1490794200,234.99,235.81,234.725,235.54,51.61719065830908,53.7880782688214,NaN,NaN
1490880600,235.47,236.52,235.27,236.29,54.83276457698613,53.04298906820151,NaN,NaN
1490967000,235.9,236.51,235.68,235.74,52.09827143185613,52.07282338704049,NaN,NaN
1491226200,235.8,236.03,233.91,235.33,50.092793895945654,51.37790540234583,NaN,NaN
1491312600,235,235.58,234.555,235.48,50.838405288905676,50.225665990247,NaN,NaN
1491399000,236.26,237.39,234.54,234.78,47.28789539310495,49.02110240653939,NaN,NaN
1491485400,234.94,236.04,234.425,235.44,50.77837672369783,48.627894850329646,NaN,NaN
1491571800,235.15,236,234.64,235.2,49.494901708951986,48.23602667466029,NaN,NaN
1491831000,235.36,236.255,234.73,235.34,50.28431334717074,48.7865542868435,NaN,NaN
1491917400,234.9,235.18,233.34,235.06,48.6466088037436,49.04739883130139,NaN,NaN
1492003800,234.74,234.96,233.77,234.03,43.087352283623204,48.97605892828694,NaN,NaN
1492090200,233.64,234.49,232.51,232.51,36.46475314935632,48.4775682978751,NaN,NaN
1492435800,233.11,234.57,232.88,234.57,48.10610126489382,48.87786786063591,NaN,NaN
1492522200,233.72,234.49,233.08,233.87,45.08323372413847,48.47949730362022,NaN,NaN
1492608600,234.52,234.95,233.18,233.44,43.28394486789484,47.884265461447775,NaN,NaN
1492695000,234.15,235.845,233.78,235.34,52.335981693779445,47.70592382693301,NaN,NaN
1492781400,235.25,235.31,234.13,234.59,49.010735092239386,47.485385516960385,NaN,NaN
1493040600,237.18,237.41,236.61,237.17,58.72579216104007,48.10202825018141,NaN,NaN
1493127000,237.91,238.95,237.81,238.55,62.807704321292576,48.95697818106619,NaN,NaN
1493213400,238.51,239.53,238.35,238.4,62.08892445954256,50.01419454295459,NaN,NaN
1493299800,238.77,238.95,237.98,238.6,62.70183052460951,50.86586981444828,NaN,NaN
1493386200,238.9,238.93,237.93,238.08,59.98640030976294,51.61526257164906,NaN,NaN
1493645400,238.68,239.17,238.195,238.68,62.02971328540448,52.45421971009433,NaN,NaN
1493731800,238.84,238.98,238.3,238.77,62.340368947297705,53.43234543463391,NaN,NaN
1493818200,238.29,238.8775,237.7,238.48,60.619345405842886,54.6846306576496,NaN,NaN
1493904600,238.83,238.9225,237.78,238.76,61.718235126946695,56.48845079890605,NaN,NaN
1493991000,239.19,239.72,238.68,239.7,65.22636583875104,57.71132683989585,NaN,NaN
1494250200,239.75,239.92,239.17,239.66,64.95359131593665,59.13063809645286,NaN,NaN
1494336600,239.96,240.19,239.04,239.44,63.38357302177912,60.5663258217303,NaN,NaN
1494423000,239.39,239.87,239.15,239.87,65.1563559899172,61.482066842883,NaN,NaN
1494509400,239.35,239.57,238.13,239.38,61.50223587234306,62.3743168986047,NaN,NaN
1494595800,239.09,239.4273,238.67,238.98,58.61245736715465,62.36622155618431,NaN,NaN
1494855000,239.47,240.44,239.45,240.3,64.53457983750502,62.48956980734234,NaN,NaN
1494941400,240.64,240.67,239.63,240.08,62.91865699447244,62.548836416980194,NaN,NaN
1495027800,238.1,238.64,235.75,235.82,41.3352400916917,61.0226513860575,NaN,NaN
1495114200,235.73,237.75,235.43,236.77,45.8003858458977,60.00936463863855,NaN,NaN
1495200600,237.33,239.08,237.27,238.31,52.157422432780784,59.30420100630829,NaN,NaN
1495459800,238.9,239.71,238.82,239.52,56.47686785430908,58.88537949966625,NaN,NaN
1495546200,239.95,240.24,239.51,240.05,58.2547213427112,58.716477780871124,NaN,NaN
1495632600,240.32,240.73,239.93,240.61,60.108888174993616,58.60152442716019,NaN,NaN
1495719000,241.2,242.08,240.96,241.76,63.676844355914426,58.49084432124329,NaN,NaN
1495805400,241.54,241.9,241.45,241.71,63.4112818543527,58.380679359701574,NaN,NaN
1496151000,241.34,241.79,241.16,241.5,62.23727731197227,58.29880109471537,NaN,NaN
1496237400,241.84,241.88,240.64,241.44,61.884741319161655,58.06511433251855,NaN,NaN
1496323800,241.97,243.38,241.64,243.36,68.10981598952056,58.53708434088843,NaN,NaN
